data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_54,yhat_model_49_to_55,yhat_model_50_to_56,yhat_model_51_to_57,yhat_model_52_to_58,yhat_model_53_to_59,yhat_model_54_to_60,yhat_model_55_to_61,yhat_model_56_to_61,yhat_model_57_to_61,yhat_model_58_to_61,yhat_model_59_to_61,yhat_model_60_to_61
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9548.226694526576,12091.775467411346,588075.007145827,57925.58112781969,2201903274428955.2,149002766637439.12,338483125872.9254,65847350.408987336,883237539.123106,753769382631363.9,17757.320088388067,13154.624884850173,12781.483415692992,11408.712153117183,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13109.589630495864,852357.7219534691,71403.34415757794,2540967480990909.0,169485603011747.0,372187886109.83203,69166676.98641363,940534332.5804404,865140849969307.8,20443.55749767886,14436.7448917482,13873.613412873847,11766.650600757364,12814.096533222664,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235409.900685596,88017.02905034671,2932243125496839.0,192784136003001.16,409248828016.6451,72653328.88306955,1001548045.2073923,992967753177711.5,23536.15529148465,15843.827162981208,15059.061837341305,12135.819056708697,13397.926208288243,13533.33530062906,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108496.28255159805,3383770084169067.5,219285428579132.47,450000146387.28235,76315740.87082891,1066519798.4922656,1139681427464408.8,27096.585609807687,17388.051188319045,16345.802400003158,12516.569852740795,14008.356048929556,13944.429051369616,15124.93661050037,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3904826268653105.5,249429751763315.38,494809313761.40533,80162772.91350237,1135706355.7948895,1308072444397751.8,31195.61978651962,19082.783535661438,17742.490135568816,12909.266374726918,14646.597999038593,14368.010342553367,16016.761283764466,18862.810678414582,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283717898940365.9,544080394085.73895,84203731.60051523,1209381137.0556211,1501343690051616.5,35914.73508429246,20942.693550013355,19258.51961912228,13314.28340945689,15313.919220509391,14804.458500467905,16961.17138388519,21676.87146445335,16162.008921268573,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598257686336.1836,88448392.6610446,1287835299.3298697,1723171285590058.5,41347.734233262156,22983.880329100455,20904.088157083654,13732.007502330975,16011.64460905397,15254.164373960699,17961.267550708682,24910.749755026736,16939.088335443314,18426.49805186722,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92907024.61308092,1371378887.418332,1977774509033311.0,47602.60996529526,25224.012074706312,22690.264377602292,14162.837326276063,16741.15942464265,15717.530684452759,19020.333249780717,28627.07629997075,17753.530209871344,20143.590312220138,18404.972556387347,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460342059.1401415,2269996048154043.0,54803.69160555208,27682.479025935285,24629.062681742653,14607.184062236312,17503.912041791235,16194.972386584466,20141.845552455994,32897.82545862468,18607.130954817443,22020.69158905924,19694.33771104806,17873.598753945003,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605394110956348.5,63094.11638954511,30380.561298168075,26733.52405624582,15065.47179160134,18301.41682515542,16686.917039816497,21329.48655164433,37805.709132344746,19501.773353066244,24072.71248791694,21074.029678039515,18391.511894753105,19410.21291313155,,,,,,
